league_name,team_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Premier League,Chelsea FC,W,D,L,W,L,W,L,D,W,W,W,D,D,L,L,L,W,D,L,W,D,D,D,L,L,W,W,D,L,L,L,L,L,W,D,L,P,P
Premier League,Liverpool FC,D,D,L,W,W,D,W,D,D,L,W,W,L,L,W,W,W,W,L,L,D,L,W,W,D,W,L,W,L,D,W,W,W,W,W,W,D,P
Primeira Liga,Sport Lisboa e Benfica,W,W,W,W,W,W,W,D,W,W,W,W,W,L,W,D,W,W,W,W,W,W,W,W,W,W,L,L,W,W,W,W,D,P,P,P,P,P
Primeira Liga,Rio Ave FC,L,L,D,W,D,L,D,W,L,W,L,W,W,D,D,L,D,L,L,W,L,W,L,W,W,L,D,D,L,W,D,L,L,P,P,P,P,P
Primeira Liga,GD Estoril Praia,W,L,D,W,L,W,D,D,W,L,D,L,L,W,L,W,L,L,L,L,L,L,L,L,L,W,L,L,L,W,L,W,D,P,P,P,P,P
Primeira Liga,FC Porto,W,W,W,L,W,W,D,W,W,L,D,W,W,W,D,W,W,W,W,W,W,L,W,W,D,W,W,W,W,W,W,W,W,P,P,P,P,P
Primeira Liga,CD Santa Clara,D,L,L,L,W,L,D,L,L,W,D,D,W,L,L,D,L,L,D,L,L,L,L,L,L,L,L,L,D,L,W,L,W,P,P,P,P,P
Primeira Liga,Sporting Clube de Braga,D,W,W,W,W,W,W,L,L,W,W,L,W,W,W,W,W,L,W,W,W,L,W,W,D,W,W,W,W,W,L,W,D,P,P,P,P,P
Primeira Liga,GD Chaves,L,W,D,W,D,L,L,D,W,W,L,D,W,L,D,D,D,L,W,D,L,L,L,W,W,L,D,W,D,W,W,W,L,P,P,P,P,P
Primeira Liga,Portimonense SC,L,W,W,W,W,L,W,L,L,L,D,W,L,L,L,D,L,L,W,L,W,L,L,L,L,L,D,W,W,L,D,L,L,P,P,P,P,P
Primeira Liga,Gil Vicente FC,W,L,D,D,L,W,D,L,L,L,L,L,L,W,L,W,W,L,D,W,D,W,W,L,D,L,D,L,L,L,L,W,L,P,P,P,P,P
Primeira Liga,FC Famalicão,L,L,D,W,L,L,L,W,L,W,L,D,L,W,W,L,D,W,L,L,W,W,L,W,W,L,W,W,W,L,L,D,L,P,P,P,P,P
Primeira Liga,Casa Pia AC,D,L,W,W,D,W,W,W,L,L,W,W,L,W,D,L,L,W,L,D,D,L,W,L,W,L,L,D,L,L,D,L,D,P,P,P,P,P
Primeira Liga,Sporting Clube de Portugal,D,W,L,L,W,W,L,W,W,W,L,W,W,W,L,D,W,W,W,L,W,W,W,W,D,W,W,D,W,W,W,W,D,P,P,P,P,P
Primeira Liga,Boavista FC,W,W,L,L,W,W,W,L,D,L,D,L,L,L,W,L,D,W,D,D,L,W,D,L,L,L,W,D,W,L,W,L,D,P,P,P,P,P
Primeira Liga,FC Vizela,W,L,D,D,L,L,L,W,W,L,D,L,W,W,L,W,L,W,L,D,D,L,W,L,W,W,W,D,L,L,L,D,L,P,P,P,P,P
Primeira Liga,Vitória SC,W,W,L,L,L,W,D,D,W,W,W,L,W,L,D,L,L,W,W,W,D,W,W,L,L,D,L,L,L,W,W,W,W,P,P,P,P,P
Primeira Liga,CS Marítimo,L,L,L,L,L,L,L,L,D,D,W,D,L,D,W,L,W,L,L,L,L,W,L,L,L,W,L,W,L,L,D,L,W,P,P,P,P,P
Primeira Liga,FC Arouca,L,W,W,L,D,L,D,D,W,D,W,W,L,L,W,D,W,L,D,W,L,W,D,W,D,W,W,D,W,L,L,L,W,P,P,P,P,P
Primeira Liga,FC Paços de Ferreira,L,L,L,L,L,L,D,D,L,L,L,L,L,L,D,W,L,W,L,L,W,L,L,W,D,D,L,L,L,W,L,L,W,P,P,P,P,P
Primera Division,CA Osasuna,W,W,L,W,W,L,D,L,L,W,D,W,W,L,L,D,W,D,L,D,D,L,W,D,L,L,D,W,L,W,W,L,L,W,L,P,P,P
Primera Division,RC Celta de Vigo,D,L,W,W,L,L,W,L,L,L,D,L,L,D,D,W,D,L,W,W,L,D,W,D,W,W,D,D,L,L,W,L,L,L,L,D,P,P
Primera Division,Real Valladolid CF,L,D,L,W,L,L,W,D,L,W,W,L,W,L,L,L,L,L,W,W,D,L,L,W,D,L,L,D,W,W,L,L,L,L,L,P,P,P
Primera Division,FC Barcelona,D,W,W,W,W,W,W,W,L,W,W,W,W,W,D,W,W,W,W,W,W,W,L,W,W,W,W,D,D,W,L,W,W,W,L,P,P,P
Primera Division,Cádiz CF,L,L,L,L,L,W,D,D,D,D,L,W,D,L,D,W,D,L,W,L,W,L,W,D,D,D,L,W,L,D,L,W,L,L,W,P,P,P
Primera Division,Valencia CF,W,L,L,W,L,W,D,W,D,D,L,L,D,W,L,L,L,D,L,L,L,L,W,L,W,L,D,L,L,W,W,L,D,W,W,P,P,P
Primera Division,UD Almería,L,D,W,L,L,L,L,W,L,W,L,W,L,W,D,L,D,D,W,L,L,L,W,L,L,D,D,W,L,L,W,L,W,L,W,L,P,P
Primera Division,Athletic Club,D,W,W,L,W,W,W,D,L,D,L,W,L,W,D,D,L,L,L,W,W,L,L,D,L,W,D,W,W,W,L,D,L,L,W,P,P,P
Primera Division,Getafe CF,L,L,D,L,W,W,L,L,D,D,D,W,D,L,W,L,L,L,L,D,D,W,L,W,D,W,D,L,D,L,L,L,W,L,D,P,P,P
Primera Division,Real Betis Balompié,W,W,W,L,W,W,L,D,W,D,L,W,D,L,D,W,L,L,W,L,W,W,W,D,D,W,L,L,W,L,D,L,W,W,D,P,P,P
Primera Division,RCD Espanyol de Barcelona,D,L,L,W,L,L,D,D,W,L,D,D,D,L,D,D,W,W,L,D,L,W,W,L,L,L,L,L,L,D,L,W,L,L,W,P,P,P
Primera Division,Sevilla FC,L,D,L,L,W,D,L,D,W,D,L,L,D,L,D,W,L,W,W,L,W,D,L,L,W,L,W,D,W,W,W,L,W,W,D,P,P,P
Primera Division,RCD Mallorca,D,L,W,D,L,W,L,D,L,L,W,D,W,W,L,W,L,W,L,W,L,W,L,L,D,L,D,D,W,W,L,D,L,W,L,P,P,P
Primera Division,Club Atlético de Madrid,W,L,W,D,W,L,W,W,W,D,W,L,D,L,W,L,D,W,W,D,W,W,D,W,W,W,W,W,W,L,W,W,W,L,W,P,P,P
Primera Division,Real Sociedad de Fútbol,W,L,W,D,L,W,W,W,W,W,L,L,D,W,W,W,W,W,D,L,W,D,L,D,D,W,L,W,L,W,D,W,W,D,W,W,P,P
Primera Division,Elche CF,L,D,L,L,L,L,L,D,D,L,D,L,L,L,L,L,D,D,L,W,L,L,L,W,D,L,L,L,L,L,L,W,L,W,D,P,P,P
Primera Division,Girona FC,L,W,L,D,W,L,L,L,D,L,D,D,W,W,D,D,W,L,L,W,L,W,W,L,L,D,W,D,W,L,W,W,W,D,L,D,P,P
Primera Division,Rayo Vallecano de Madrid,D,W,L,L,W,L,W,L,D,D,W,W,W,D,D,L,W,L,W,W,D,D,L,D,L,D,D,L,W,L,W,L,W,L,L,P,P,P
Primera Division,Real Madrid CF,W,W,W,W,W,W,D,W,W,W,W,D,L,W,W,L,W,W,D,L,W,W,D,D,W,L,W,L,W,W,L,W,L,W,L,P,P,P
Primera Division,Villarreal CF,W,W,D,W,L,D,D,L,W,L,W,L,L,W,W,W,D,W,L,L,L,L,W,W,D,W,W,W,L,L,W,W,D,W,W,P,P,P
Serie A,UC Sampdoria,L,D,L,D,L,L,L,L,D,L,W,L,L,L,L,W,L,L,L,L,D,D,L,L,D,L,W,L,L,D,D,L,L,L,D,L,P,P
